Países,Quantidade (Kg),Valor (US$),Ano,Preco_fechamento,Cambio%,Cambio,Minimo,Maximo,Quantidade (L),Valor (R$),Valor (L) US$,Valor (L) R$,CONTINENTE,Market_Share,Quantidade_Volume
Afeganistão,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
África do Sul,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Alemanha,7630,45367.0,2022,5.29,-5.09%,5.16,4.58,5.73,7668.34,234093.72,5.92,30.53,Europa,0.41,Médio
Angola,4068,4761.0,2022,5.29,-5.09%,5.16,4.58,5.73,4088.44,24566.76,1.16,6.01,África,0.04,Médio
Anguilla,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Antígua e Barbuda,419,1866.0,2022,5.29,-5.09%,5.16,4.58,5.73,421.11,9628.56,4.43,22.86,América do Norte e Central,0.02,Baixo
Antilhas Holandesas,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Arábia Saudita,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Argélia,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Argentina,480,3232.0,2022,5.29,-5.09%,5.16,4.58,5.73,482.41,16677.12,6.7,34.57,América do Sul,0.03,Baixo
Aruba,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Austrália,1424,12299.0,2022,5.29,-5.09%,5.16,4.58,5.73,1431.16,63462.84,8.59,44.34,Austrália/Oceania,0.11,Médio
Áustria,6,212.0,2022,5.29,-5.09%,5.16,4.58,5.73,6.03,1093.92,35.16,181.41,Europa,0.0,Muito Baixo
Bahamas,1215,5799.0,2022,5.29,-5.09%,5.16,4.58,5.73,1221.11,29922.84,4.75,24.5,América do Norte e Central,0.05,Baixo
Bangladesh,7,84.0,2022,5.29,-5.09%,5.16,4.58,5.73,7.04,433.44,11.93,61.57,Ásia,0.0,Muito Baixo
Barbados,220,1145.0,2022,5.29,-5.09%,5.16,4.58,5.73,221.11,5908.2,5.18,26.72,América do Norte e Central,0.01,Baixo
Barein,979,2789.0,2022,5.29,-5.09%,5.16,4.58,5.73,983.92,14391.24,2.83,14.63,Ásia,0.03,Baixo
Bélgica,828,6145.0,2022,5.29,-5.09%,5.16,4.58,5.73,832.16,31708.2,7.38,38.1,Europa,0.06,Baixo
Belice,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,,0.0,Sem Volume
